line	url
R10D12	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080314/GMR_10D12_AE_01_01-fA01b_C080314_20080315003957671/R10D12_AE_01_01-fA01b_C080314_20080315003957671_ch2_total.jpg
R10E01	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080314/GMR_10E01_AE_01_02-fA01b_C080314_20080315005133609/R10E01_AE_01_02-fA01b_C080314_20080315005133609_ch2_total.jpg
R10E02	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100604/GMR_10E02_AE_01_11-fA01b_C100604_20100604093950828/R10E02_AE_01_11-fA01b_C100604_20100604093950828_ch2_total.jpg
R10E03	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100429/GMR_10E03_AE_01_04-fA01b_C100429_20100429091631875/R10E03_AE_01_04-fA01b_C100429_20100429091631875_ch2_total.jpg
R10E04	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090919/GMR_10E04_AE_01_07-fA01b_C090919_20090919114643593/R10E04_AE_01_07-fA01b_C090919_20090919114643593_ch2_total.jpg
R10E05	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090912/GMR_10E05_AE_01_02-fA01b_C090912_20090913112607593/R10E05_AE_01_02-fA01b_C090912_20090913112607593_ch2_total.jpg
R10E06	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080320/GMR_10E06_AE_01_04-fA01b_C080321_20080322003825468/R10E06_AE_01_04-fA01b_C080321_20080322003825468_ch2_total.jpg
R10E07	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100418/GMR_10E07_AE_01_10-fA01b_C100418_20100419213734968/R10E07_AE_01_10-fA01b_C100418_20100419213734968_ch2_total.jpg
R10E08	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080501/GMR_10E08_AE_01_05-fA01b_C080501_20080502033039250/R10E08_AE_01_05-fA01b_C080501_20080502033039250_ch2_total.jpg
R10E09	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20091216/GMR_10E09_AE_01_13-fA01b_C091216_20091216104311084/R10E09_AE_01_13-fA01b_C091216_20091216104311084_ch2_total.jpg
R10E12	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100929/GMR_10E12_AE_01_03-fA01b_C100929_20100929104547281/R10E12_AE_01_03-fA01b_C100929_20100929104547281_ch2_total.jpg
R10F01	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080320/GMR_10F01_AE_01_03-fA01b_C080321_20080322010309375/R10F01_AE_01_03-fA01b_C080321_20080322010309375_ch2_total.jpg
R10F02	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090226/GMR_10F02_AE_01_02-fA01b_C090226_20090226161945500/R10F02_AE_01_02-fA01b_C090226_20090226161945500_ch2_total.jpg
R10F03	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090226/GMR_10F03_AE_01_00-fA01b_C090226_20090226162049890/R10F03_AE_01_00-fA01b_C090226_20090226162049890_ch2_total.jpg
R10F04	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090226/GMR_10F04_AE_01_00-fA01b_C090226_20090226162442734/R10F04_AE_01_00-fA01b_C090226_20090226162442734_ch2_total.jpg
R10F05	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080320/GMR_10F05_AE_01_04-fA01b_C080321_20080322011607609/R10F05_AE_01_04-fA01b_C080321_20080322011607609_ch2_total.jpg
R10F06	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090919/GMR_10F06_AE_01_08-fA01b_C090919_20090919121707015/R10F06_AE_01_08-fA01b_C090919_20090919121707015_ch2_total.jpg
R10F07	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20071220/GMR_10F07_AE_01_03-fA01b_C071220_20080104224636921/R10F07_AE_01_03-fA01b_C071220_20080104224636921_ch2_total.jpg
R10F08	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100418/GMR_10F08_AE_01_05-fA01b_C100418_20100419214058359/R10F08_AE_01_05-fA01b_C100418_20100419214058359_ch2_total.jpg
R10F09	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20101205/GMR_10F09_AE_01_06-fA01b_C101205_20101206102718218/R10F09_AE_01_06-fA01b_C101205_20101206102718218_ch2_total.jpg
R10F10	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090528/GMR_10F10_AE_01_02-fA01b_C090528_20090529130928187/R10F10_AE_01_02-fA01b_C090528_20090529130928187_ch2_total.jpg
R10F11	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090226/GMR_10F11_AE_01_01-fA01b_C090226_20090226163711968/R10F11_AE_01_01-fA01b_C090226_20090226163711968_ch2_total.jpg
R10F12	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100710/GMR_10F12_AE_01_05-fA01b_C100710_20100710122547015/R10F12_AE_01_05-fA01b_C100710_20100710122547015_ch2_total.jpg
R10G01	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090919/GMR_10G01_AE_01_09-fA01b_C090919_20090919122309968/R10G01_AE_01_09-fA01b_C090919_20090919122309968_ch2_total.jpg
R10G02	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100109/GMR_10G02_AE_01_10-fA01b_C100109_20100111084955518/R10G02_AE_01_10-fA01b_C100109_20100111084955518_ch2_total.jpg
R10G03	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080304/GMR_10G03_AE_01_15-fA01b_C080304_20080305232122046/R10G03_AE_01_15-fA01b_C080304_20080305232122046_ch2_total.jpg
R10G04	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20091130/GMR_10G04_AE_01_05-fA01b_C091201_20091201140504373/R10G04_AE_01_05-fA01b_C091201_20091201140504373_ch2_total.jpg
R10G06	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080220/GMR_10G06_AE_01_05-fA01b_C080220_20080228031802906/R10G06_AE_01_05-fA01b_C080220_20080228031802906_ch2_total.jpg
R10G09	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090919/GMR_10G09_AE_01_10-fA01b_C090919_20090921112305437/R10G09_AE_01_10-fA01b_C090919_20090921112305437_ch2_total.jpg
R10G10	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090406/GMR_10G10_AE_01_05-fA01b_C090406_20090406140854827/R10G10_AE_01_05-fA01b_C090406_20090406140854827_ch2_total.jpg
R10G11	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090225/GMR_10G11_AE_01_00-fA01b_C090225_20090225101612500/R10G11_AE_01_00-fA01b_C090225_20090225101612500_ch2_total.jpg
R10G12	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090225/GMR_10G12_AE_01_02-fA01b_C090225_20090225102158765/R10G12_AE_01_02-fA01b_C090225_20090225102158765_ch2_total.jpg
R10H01	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080326/GMR_10H01_AE_01_03-fA01b_C080326_20080329013956546/R10H01_AE_01_03-fA01b_C080326_20080329013956546_ch2_total.jpg
R10H02	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100708/GMR_10H02_AE_01_11-fA01b_C100708_20100708110135546/R10H02_AE_01_11-fA01b_C100708_20100708110135546_ch2_total.jpg
R10H03	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20101205/GMR_10H03_AE_01_17-fA01b_C101205_20101206103312015/R10H03_AE_01_17-fA01b_C101205_20101206103312015_ch2_total.jpg
R10H04	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20100708/GMR_10H04_AE_01_07-fA01b_C100708_20100708110244093/R10H04_AE_01_07-fA01b_C100708_20100708110244093_ch2_total.jpg
R10H05	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20090922/GMR_10H05_AE_01_04-fA01b_C090922_20090922111220641/R10H05_AE_01_04-fA01b_C090922_20090922111220641_ch2_total.jpg
R10H06	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080501/GMR_10H06_AE_01_04-fA01b_C080501_20080502035748890/R10H06_AE_01_04-fA01b_C080501_20080502035748890_ch2_total.jpg
R10H07	https://flimg.janelia.org/flylight-image/external-data/adult/secdata/projections/20080402/GMR_10H07_AE_01_00-fA01b_C080402_20080402234057500/R10H07_AE_01_00-fA01b_C080402_20080402234057500_ch2_total.jpg
